NAF,Code_NAF,Nom,Adresse_etablissement,Code_Postal,CoordonneesLambertAbscisse,coordonneesLambertOrdonnee
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,MARAZZI FRANCE TRADING,113-117 113 AVENUE JEAN JAURES 69007 LYON,69007,843101.3993826942,6517570.685793601
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,DIFFUSION 2000, 33 BOULEVARD YVES FARGE 69007 LYON,69007,842581.9704277215,6517542.380081952
46.73B,Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de decoration,PPG DISTRIBUTION,37 ET 39 RUE DE GERLAND 69007 LYON,69007,843115.1335621142,6517298.523998123
46.73B,Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de decoration,LUDOVIC PERTOSA DESIGN, 39 RUE DE MARSEILLE 69007 LYON,69007,842974.0887686491,6518391.607104907
46.73B,Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de decoration,IC PRO DISTRIBUTION,99 A 103 99 RUE DE GERLAND 69007 LYON,69007,843050.914050948,6516723.293057037
46.73B,Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de decoration,CENTRE EST PEINTURES DISTRIBUTION, 15 BOULEVARD YVES FARGE 69007 LYON,69007,842660.7594579196,6517682.839785516
46.73B,Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de decoration,IMEX FRANCE, 63 RUE ANDRE BOLLIER 69007 LYON,69007,842439.2512170745,6516650.752864149
46.73B,Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de decoration,ZOLPAN, 17 RUE DE GERLAND 69007 LYON,69007,843124.8520929344,6517358.734408182
47.52A,Commerce de detail de quincaillerie peintures et verres en petites surfaces (moins de 400 m²),CHASSIS CROISEES RHONE, 5 AVENUE BERTHELOT 69007 LYON,69007,842622.6774749983,6518110.060564297
47.52A,Commerce de detail de quincaillerie peintures et verres en petites surfaces (moins de 400 m²),TRAMTECH SERVICES, 7 AVENUE BERTHELOT 69007 LYON,69007,842641.0590684335,6518102.156674349
47.52A,Commerce de detail de quincaillerie peintures et verres en petites surfaces (moins de 400 m²),BRIC A DROG, 13 RUE DE MARSEILLE 69007 LYON,69007,843146.1588587175,6518766.073527877
47.52A,Commerce de detail de quincaillerie peintures et verres en petites surfaces (moins de 400 m²),QUALIT'ISOL, 63 RUE ANDRE BOLLIER 69007 LYON,69007,842439.2512170745,6516650.752864149
47.52A,Commerce de detail de quincaillerie peintures et verres en petites surfaces (moins de 400 m²),EPFRD EQUIPEMENTS DE PREVENTION CONTRE LE FEU ET RISQUES DIVERS, 120 RUE CHALLEMEL LACOUR 69007 LYON,69007,843562.5786361981,6516085.300318661
47.52A,Commerce de detail de quincaillerie peintures et verres en petites surfaces (moins de 400 m²),ISO DE REV, 63 RUE ANDRE BOLLIER 69007 LYON,69007,842439.2512170745,6516650.752864149
47.52B,Commerce de detail de quincaillerie peintures et verres en grandes surfaces (400 m² et plus),ARMABRIC,ET 60 RUE PRE GAUDRY 7 RUE MARIE-MADELEINE FOURCADE 69007 LYON,69007,842934.9752025998,6516968.747633445
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,AM EXPRESS, 13 BOULEVARD EDMOND MICHELET 69008 LYON,69008,845931.8374665631,6516478.405015113
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,LA SOLUTION D'INTERIEURE, 320 AVENUE BERTHELOT 69008 LYON,69008,845096.2558929853,6517022.562855256
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,ARC MODULAIRE, 41 RUE MARYSE BASTIE 69008 LYON,69008,845723.1734057289,6517180.82036806
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,MAXS IMPORT, 49 RUE AUDIBERT ET LAVIROTTE 69008 LYON,69008,844513.2876098285,6517015.0316590015
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,APH-INDUSTRIE, 320 AVENUE BERTHELOT 69008 LYON,69008,845096.2558929853,6517022.562855256
46.73B,Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de decoration,AL'L FLOR, 13 RUE ST GERVAIS 69008 LYON 8EME,69008,0,0
46.73B,Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de decoration,MY GROUP,APP 16 5 AVENUE JEAN MERMOZ 69008 LYON,69008,845460.9228545896,6516916.889697925
46.73B,Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de decoration,EVOLANCE, 320 AVENUE BERTHELOT 69008 LYON,69008,845096.2558929853,6517022.562855256
47.52A,Commerce de detail de quincaillerie peintures et verres en petites surfaces (moins de 400 m²),DROGUERIE LUMIERE, 11 RUE ANTOINE LUMIERE 69008 LYON,69008,845376.1589735384,6517638.470540954
47.52A,Commerce de detail de quincaillerie peintures et verres en petites surfaces (moins de 400 m²),LES HALLES DE L'ENERGIE, 6 RUE SAINT NESTOR 69008 LYON,69008,844884.0737700899,6517714.0346470475
47.52B,Commerce de detail de quincaillerie peintures et verres en grandes surfaces (400 m² et plus),MATHELOT, 12 RUE DE L'EPARGNE 69008 LYON,69008,844598.009517332,6517496.455654421
47.52B,Commerce de detail de quincaillerie peintures et verres en grandes surfaces (400 m² et plus),SEELEY INTERNATIONAL (FRANCE), 320 AVENUE BERTHELOT 69008 LYON,69008,845096.2558929853,6517022.562855256
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,B DIRECT, 3 SQUARE AVERROES 69009 LYON,69009,839397.198895112,6522430.591515819
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,AB2D, 1 RUE MARIETTON 69009 LYON,69009,840481.7147747123,6521081.723461568
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,CFPM, 37 QUAI JAYR 69009 LYON,69009,840478.3375183623,6521147.738639788
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,LA PLATEFORME, 33 RUE SAINT SIMON 69009 LYON,69009,839649.0054748817,6521337.4104698915
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,ONE SHOT, 39 AVENUE SIDOINE APOLLINAIRE 69009 LYON,69009,839563.2133029524,6520779.727322876
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,LEMTRADE, 5 RUE GORGE DE LOUP 69009 LYON,69009,840224.2867267679,6520530.209905268
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,LIM CONSTRUCTION, 17 RUE DE LA FRATERNELLE 69009 LYON,69009,840178.39,6520388.87
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,SAMSE, 46 RUE LAURE DIEBOLD 69009 LYON,69009,839652.6011679178,6521507.22181403
